实际日期,601899.SS,601398.SS,000858.SZ
2024-05-20,18.67,4.54,144.31
2024-05-21,17.85,4.58,143.55
2024-05-22,17.63,4.59,142.13
2024-05-23,17.04,4.57,140.61
2024-05-24,17.02,4.52,138.16
2024-05-27,17.4,4.56,138.59
2024-05-28,17.25,4.57,137.04
2024-05-29,17.65,4.55,136.22
2024-05-30,16.84,4.52,133.27
2024-05-31,16.61,4.51,133.71
2024-06-03,16.53,4.52,132.99
2024-06-04,16.62,4.55,134.79
2024-06-05,16.25,4.54,132.77
2024-06-06,16.79,4.54,131.91
2024-06-07,16.96,4.6,129.35
2024-06-11,16.4,4.52,125.49
2024-06-12,16.61,4.48,124.91
2024-06-13,16.21,4.51,121.57
2024-06-14,16.49,4.58,122.69
2024-06-17,16.44,4.51,122.74
2024-06-18,16.32,4.53,120.9
2024-06-19,16.72,4.58,121.23
2024-06-20,16.96,4.6,119.21
2024-06-21,16.72,4.59,117.21
2024-06-24,16.87,4.65,118.04
2024-06-25,16.75,4.68,118.52
2024-06-26,16.66,4.71,118.31
2024-06-27,16.3,4.78,116.66
2024-06-28,16.97,4.78,115.05
2024-07-01,17.44,4.9,115.31
2024-07-02,17.24,5.05,118.57
2024-07-03,17.29,4.97,118.01
2024-07-04,17.57,5.04,117.6
2024-07-05,18.04,4.91,115.96
2024-07-08,17.85,4.97,112.92
2024-07-09,18.22,5.02,114.08
2024-07-10,17.78,5.08,113.55
2024-07-11,18.27,5.01,117.49
2024-07-12,17.88,5.16,119.08
2024-07-15,18.22,5.28,119.18
2024-07-16,18.61,5.27,119.16
2024-07-17,17.87,5.29,122.44
2024-07-18,17.85,5.29,122.78
2024-07-19,17.34,5.29,125.1
2024-07-22,17.0,5.22,122.9
2024-07-23,15.92,5.39,118.48
2024-07-24,15.93,5.44,117.74
2024-07-25,14.83,5.44,117.46
2024-07-26,15.25,5.31,117.88
2024-07-29,15.51,5.36,115.78
2024-07-30,15.31,5.37,114.97
2024-07-31,15.98,5.23,118.54
2024-08-01,16.03,5.26,115.68
2024-08-02,15.36,5.26,115.38
2024-08-05,15.03,5.25,117.68
2024-08-06,14.75,5.18,117.58
2024-08-07,14.88,5.2,118.68
2024-08-08,14.61,5.25,120.03
2024-08-09,14.84,5.3,119.76
2024-08-12,14.86,5.37,119.39
2024-08-13,15.04,5.38,117.28
2024-08-14,14.9,5.4,116.01
2024-08-15,15.08,5.43,116.63
2024-08-16,15.37,5.52,116.69
2024-08-19,15.72,5.65,115.63
2024-08-20,15.55,5.77,114.83
2024-08-21,15.66,5.68,113.88
2024-08-22,15.67,5.8,112.67
2024-08-23,15.56,5.84,112.79
2024-08-26,15.71,5.81,109.8
2024-08-27,15.57,5.91,109.38
2024-08-28,15.32,5.87,105.68
2024-08-29,15.43,5.6,110.46
2024-08-30,15.5,5.36,114.71
2024-09-02,15.11,5.32,110.68
2024-09-03,14.99,5.14,112.0
2024-09-04,14.18,5.09,110.79
2024-09-05,14.18,5.01,111.23
2024-09-06,14.26,5.02,109.21
2024-09-09,13.65,4.99,107.9
2024-09-10,13.72,5.05,108.11
2024-09-11,13.7,4.92,107.69
2024-09-12,13.7,4.92,105.04
2024-09-13,14.18,4.94,100.88
2024-09-18,14.54,5.06,99.37
2024-09-19,14.9,5.03,102.58
2024-09-20,15.38,5.05,101.96
2024-09-23,15.32,5.1,103.97
2024-09-24,16.01,5.38,112.04
2024-09-25,16.42,5.42,113.78
2024-09-26,16.87,5.58,125.99
2024-09-27,17.01,5.39,139.42
2024-09-30,17.64,5.56,154.19
2024-10-08,17.46,5.5,155.73
2024-10-09,16.43,5.42,139.36
2024-10-10,16.85,5.65,143.66
2024-10-11,16.74,5.65,141.33
2024-10-14,17.17,5.85,141.44
2024-10-15,16.63,5.64,135.68
2024-10-16,16.95,5.74,133.33
2024-10-17,16.64,5.67,129.63
2024-10-18,17.13,5.7,134.68
2024-10-21,17.72,5.54,134.69
2024-10-22,17.55,5.52,137.12
2024-10-23,17.35,5.52,140.21
2024-10-24,16.99,5.54,138.14
2024-10-25,16.73,5.5,139.79
2024-10-28,16.7,5.45,145.65
2024-10-29,16.72,5.44,142.48
2024-10-30,16.63,5.39,140.48
2024-10-31,16.32,5.42,138.51
2024-11-01,16.75,5.53,139.6
2024-11-04,16.85,5.51,140.28
2024-11-05,17.2,5.53,144.48
2024-11-06,16.81,5.47,142.93
2024-11-07,16.59,5.53,153.92
2024-11-08,16.59,5.49,148.15
2024-11-11,16.01,5.42,146.5
2024-11-12,15.48,5.38,145.98
2024-11-13,15.5,5.42,145.62
2024-11-14,15.11,5.45,145.17
2024-11-15,15.12,5.43,142.97
2024-11-18,15.21,5.57,141.01
2024-11-19,15.71,5.53,140.13
2024-11-20,15.53,5.52,141.28
2024-11-21,15.66,5.51,141.18
2024-11-22,15.26,5.43,136.57
2024-11-25,15.05,5.45,135.48
2024-11-26,15.04,5.54,136.48
2024-11-27,15.18,5.58,138.73
2024-11-28,15.03,5.57,135.68
2024-11-29,15.2,5.53,138.45
2024-12-02,15.06,5.51,139.08
2024-12-03,15.11,5.59,138.67
2024-12-04,15.3,5.64,137.41
2024-12-05,14.98,5.64,136.71
2024-12-06,15.19,5.7,138.12
2024-12-09,15.38,5.7,137.44
2024-12-10,15.56,5.8,140.78
2024-12-11,15.62,5.69,141.08
2024-12-12,15.74,5.8,143.5
2024-12-13,15.07,5.77,139.72
2024-12-16,14.85,5.91,136.27
2024-12-17,14.95,5.89,136.57
2024-12-18,14.99,5.97,136.88
2024-12-19,14.82,5.87,135.23
2024-12-20,14.52,5.91,134.89
2024-12-23,15.01,6.08,134.13
2024-12-24,15.13,6.16,135.16
2024-12-25,15.02,6.32,134.76
2024-12-26,15.12,6.31,134.17
2024-12-27,14.8,6.3,134.2
2024-12-30,15.04,6.33,132.89
2024-12-31,14.62,6.3,131.72
2025-01-02,14.68,6.18,128.67
2025-01-03,15.07,6.09,127.08
2025-01-06,14.99,6.13,122.51
2025-01-07,15.52,6.22,122.53
2025-01-08,15.35,6.29,121.38
2025-01-09,15.42,6.24,122.26
2025-01-10,15.65,6.2,120.28
2025-01-13,15.9,6.13,120.88
2025-01-14,15.91,6.14,124.7
2025-01-15,15.28,6.16,124.45
2025-01-16,15.67,6.21,123.16
2025-01-17,15.77,6.14,123.98
2025-01-20,15.79,6.1,125.98
2025-01-21,15.75,6.08,125.07
2025-01-22,15.7,5.97,122.03
2025-01-23,15.38,6.19,122.9
2025-01-24,15.52,6.2,121.97
2025-01-27,15.74,6.35,121.45
2025-02-05,15.97,6.22,119.26
2025-02-06,15.81,6.22,120.15
2025-02-07,16.12,6.22,121.88
2025-02-10,16.37,6.2,121.78
2025-02-11,16.78,6.35,120.51
2025-02-12,16.48,6.43,121.95
2025-02-13,16.51,6.49,125.76
2025-02-14,16.66,6.52,125.48
2025-02-17,16.0,6.49,125.8
2025-02-18,15.91,6.62,124.45
2025-02-19,15.85,6.58,125.36
2025-02-20,15.94,6.61,124.75
2025-02-21,15.69,6.46,125.37
2025-02-24,15.58,6.42,126.15
2025-02-25,15.28,6.39,123.0
2025-02-26,15.36,6.41,124.05
2025-02-27,15.25,6.46,127.0
2025-02-28,14.85,6.4,125.83
2025-03-03,15.14,6.38,125.09
2025-03-04,15.43,6.31,124.0
2025-03-05,15.51,6.4,122.86
2025-03-06,15.8,6.36,125.93
2025-03-07,15.93,6.33,129.05
2025-03-10,16.15,6.27,126.94
2025-03-11,15.98,6.31,129.45
2025-03-12,16.19,6.25,127.22
2025-03-13,16.46,6.26,126.64
2025-03-14,16.98,6.28,135.05
2025-03-17,16.71,6.34,134.09
2025-03-18,17.26,6.33,133.8
2025-03-19,17.55,6.4,133.17
2025-03-20,17.67,6.37,130.24
2025-03-21,17.07,6.29,128.85
2025-03-24,17.55,6.35,128.56
2025-03-25,17.9,6.38,127.81
2025-03-26,17.7,6.36,127.6
2025-03-27,17.36,6.4,128.15
2025-03-28,17.66,6.41,127.48
2025-03-31,17.62,6.42,125.6
2025-04-01,17.43,6.33,126.04
2025-04-02,17.0,6.38,125.4
2025-04-03,16.61,6.42,126.25
2025-04-07,14.91,6.29,121.03
2025-04-08,15.45,6.35,125.01
2025-04-09,15.42,6.33,126.5
2025-04-10,16.25,6.28,127.4
2025-04-11,16.65,6.33,125.85
2025-04-14,17.13,6.4,125.29
2025-04-15,17.15,6.49,125.6
2025-04-16,17.24,6.59,126.55
2025-04-17,17.32,6.58,126.78
2025-04-18,17.12,6.67,126.0
2025-04-21,18.1,6.58,124.59
2025-04-22,18.0,6.68,124.35
2025-04-23,17.29,6.64,124.22
2025-04-24,17.17,6.77,123.31
2025-04-25,17.15,6.74,123.3
2025-04-28,17.16,6.82,125.1
2025-04-29,17.13,6.8,123.8
2025-04-30,16.96,6.54,122.95
2025-05-06,17.26,6.51,123.74
2025-05-07,17.55,6.64,124.24
2025-05-08,17.26,6.64,126.05
2025-05-09,17.15,6.7,125.83
2025-05-12,17.21,6.69,127.22
2025-05-13,17.26,6.76,127.24
2025-05-14,17.4,6.76,129.51
2025-05-15,16.99,6.8,127.92
2025-05-16,16.92,6.69,125.33
2025-05-19,16.92,6.65,123.55
2025-05-20,16.96,6.66,123.38
2025-05-21,17.99,6.67,123.51
2025-05-22,18.08,6.65,123.34
2025-05-23,18.09,6.61,122.4
2025-05-26,18.06,6.58,120.66
2025-05-27,17.38,6.59,120.41
2025-05-28,17.48,6.58,121.17
2025-05-29,17.32,6.57,121.57
2025-05-30,17.23,6.6,120.69
2025-06-03,17.56,6.64,118.93
2025-06-04,17.59,6.61,118.8
2025-06-05,17.38,6.62,119.28
2025-06-06,17.64,6.63,119.34
2025-06-09,17.47,6.61,119.21
2025-06-10,17.77,6.63,118.64
2025-06-11,18.16,6.65,118.95
2025-06-12,18.96,6.64,116.75
2025-06-13,18.93,6.62,113.37
2025-06-16,18.6,6.67,112.52
2025-06-17,18.65,6.7,111.96
2025-06-18,18.56,6.78,112.58
2025-06-19,18.15,6.83,111.53
2025-06-20,18.19,6.9,113.81
2025-06-23,18.29,7.05,112.53
2025-06-24,18.32,7.16,114.0
2025-06-25,18.77,7.2,114.43
2025-06-26,18.76,7.25,113.98
2025-06-27,19.56,7.03,113.43
2025-06-30,19.28,7.12,113.15
2025-07-01,19.68,7.19,112.88
2025-07-02,19.95,7.21,113.43
2025-07-03,20.07,7.17,113.87
2025-07-04,19.83,7.28,114.64
2025-07-07,19.58,7.26,114.16
2025-07-08,19.6,7.29,115.03
2025-07-09,18.68,7.38,115.85
2025-07-10,18.62,7.61,116.83
2025-07-11,18.67,7.54,118.55
2025-07-14,18.86,7.53,119.66
2025-07-15,18.9,7.49,119.25
2025-07-16,18.92,7.49,119.53
2025-07-17,18.85,7.44,120.07
2025-07-18,19.25,7.46,121.2
2025-07-21,19.57,7.39,119.98
2025-07-22,20.03,7.29,122.95
2025-07-23,19.99,7.34,122.62
2025-07-24,19.9,7.24,122.97
2025-07-25,19.63,7.18,120.96
2025-07-28,19.58,7.18,121.48
2025-07-29,19.37,7.12,120.94
2025-07-30,19.6,7.18,121.94
2025-07-31,18.93,7.25,118.57
2025-08-01,19.04,7.31,118.42
2025-08-04,19.66,7.37,118.34
2025-08-05,19.65,7.45,119.37
2025-08-06,19.94,7.45,119.58
2025-08-07,20.08,7.53,119.97
2025-08-08,20.32,7.48,119.64
2025-08-11,20.03,7.39,121.36
2025-08-12,20.08,7.47,120.61
2025-08-13,20.8,7.39,120.61
2025-08-14,20.95,7.38,120.26
2025-08-15,21.07,7.24,120.52
2025-08-18,20.58,7.22,121.17
2025-08-19,20.11,7.26,121.83
2025-08-20,20.34,7.26,123.2
2025-08-21,20.38,7.29,122.87
2025-08-22,20.44,7.32,123.21
2025-08-25,21.99,7.28,127.35
2025-08-26,22.17,7.24,127.16
2025-08-27,22.31,7.1,124.04
2025-08-28,22.3,7.07,122.89
2025-08-29,22.86,7.12,126.95
2025-09-01,24.16,7.07,126.29
2025-09-02,24.19,7.26,125.98
2025-09-03,24.72,7.13,124.04
2025-09-04,23.65,7.23,122.93
2025-09-05,25.05,7.13,124.23
2025-09-08,24.42,7.09,126.51
2025-09-09,24.97,7.12,126.22
2025-09-10,24.96,7.16,125.48
2025-09-11,25.49,7.2,125.94
2025-09-12,25.43,7.17,124.61
2025-09-15,25.28,7.12,124.07
2025-09-16,25.1,7.14,123.22
2025-09-17,24.85,7.15,123.38
2025-09-18,24.2,6.98,121.36
2025-09-19,24.8,6.89,121.5
2025-09-22,25.15,6.87,119.92
2025-09-23,25.6,7.09,119.61
2025-09-24,25.71,7.16,119.79
2025-09-25,27.05,7.07,118.94
2025-09-26,27.18,7.1,117.59
2025-09-29,28.55,7.02,119.34
2025-09-30,29.44,6.99,118.9
2025-10-09,32.38,7.0,118.58
2025-10-10,30.87,7.0,118.15
2025-10-13,31.3,6.96,117.27
2025-10-14,29.5,7.19,119.49
2025-10-15,30.98,7.15,119.49
2025-10-16,30.47,7.32,120.16
2025-10-17,30.17,7.31,118.49
2025-10-20,29.75,7.3,117.88
2025-10-21,30.05,7.33,117.94
2025-10-22,29.45,7.45,117.52
2025-10-23,29.7,7.53,118.75
2025-10-24,30.03,7.53,117.71
2025-10-27,31.0,7.6,117.71
2025-10-28,29.84,7.68,117.52
2025-10-29,30.96,7.52,116.25
2025-10-30,31.11,7.53,115.89
2025-10-31,30.5,7.47,116.41
2025-11-03,30.0,7.59,116.4
2025-11-04,28.78,7.82,114.58
2025-11-05,29.01,7.83,113.6
2025-11-06,29.7,7.78,113.59
2025-11-07,30.17,7.74,114.17
2025-11-10,30.17,7.81,118.22
2025-11-11,29.62,7.85,118.2
2025-11-12,29.49,7.88,117.8
2025-11-13,30.72,7.9,118.62
2025-11-14,30.02,7.94,117.63
2025-11-17,28.98,7.86,117.57
2025-11-18,28.39,7.89,117.78
2025-11-19,29.34,7.92,117.31
2025-11-20,28.97,7.96,117.67
2025-11-21,28.14,7.94,117.1
2025-11-24,28.0,7.89,115.94
2025-11-25,28.51,8.0,115.93
2025-11-26,28.43,7.85,115.68
2025-11-27,28.6,7.85,115.36
2025-11-28,28.58,7.8,115.27
2025-12-01,30.06,7.78,115.07
2025-12-02,29.74,7.78,113.99
2025-12-03,29.97,7.74,113.02
2025-12-04,30.69,7.74,111.87
2025-12-05,31.32,7.68,112.38
2025-12-08,31.5,7.68,110.69
2025-12-09,30.4,7.79,108.3
2025-12-10,30.75,7.63,109.04
2025-12-11,30.96,7.69,109.32
2025-12-12,31.7,7.66,109.02
2025-12-15,31.41,7.64,109.87
2025-12-16,30.32,7.62,110.42
2025-12-17,30.87,7.64,110.82
2025-12-18,30.97,7.82,110.43
2025-12-19,31.12,7.71,110.53
2025-12-22,32.53,7.72,110.33
2025-12-23,32.09,7.75,109.72
2025-12-24,32.31,7.74,109.28
2025-12-25,32.03,7.69,110.6
2025-12-26,33.53,7.64,109.78
2025-12-29,32.65,7.7,108.06
2025-12-30,33.42,7.68,107.36
2025-12-31,34.47,7.76,105.94
2026-01-05,35.4,7.65,107.9
2026-01-06,37.6,7.63,108.17
2026-01-07,36.72,7.58,107.52
2026-01-08,36.3,7.52,106.9
2026-01-09,37.22,7.54,107.14
2026-01-12,37.26,7.57,108.55
2026-01-13,38.24,7.64,108.0
2026-01-14,38.5,7.52,107.04
2026-01-15,38.25,7.51,106.09
2026-01-16,37.47,7.44,105.16
2026-01-19,37.26,7.36,104.55
2026-01-20,37.31,7.37,104.91
2026-01-21,38.13,7.18,103.05
2026-01-22,37.66,7.1,102.76
2026-01-23,37.56,7.04,102.99
2026-01-26,39.5,7.07,102.34
2026-01-27,40.61,7.06,101.02
2026-01-28,42.3,7.03,100.7
2026-01-29,43.45,7.09,110.77
2026-01-30,40.14,7.08,105.0
2026-02-02,36.61,7.15,107.29
2026-02-03,38.81,7.01,107.28
2026-02-04,39.16,7.07,108.52
2026-02-05,37.45,7.13,108.89
2026-02-06,37.19,7.09,107.0
2026-02-09,38.63,7.11,107.36
2026-02-10,38.81,7.13,106.5
2026-02-11,39.48,7.12,106.04
2026-02-12,39.75,7.01,104.62
2026-02-13,37.78,6.94,106.06
2026-02-24,39.32,6.89,105.16
2026-02-25,39.63,6.88,105.17
2026-02-26,39.37,6.79,103.88
2026-02-27,39.55,6.75,104.05
2026-03-02,40.77,6.79,103.22
2026-03-03,38.86,6.95,102.55
2026-03-04,37.96,6.91,101.02
2026-03-05,37.67,6.94,101.45
2026-03-06,37.1,6.94,102.4
2026-03-09,36.4,6.93,101.52
2026-03-10,37.13,6.87,102.05
2026-03-11,37.24,6.95,102.18
2026-03-12,36.75,6.99,102.27
2026-03-13,35.77,7.03,102.95
2026-03-16,34.75,7.08,104.54
2026-03-17,34.9,7.22,104.79
2026-03-18,34.92,7.22,103.72
2026-03-19,32.32,7.36,102.53
2026-03-20,31.65,7.33,102.4
2026-03-23,30.58,7.08,100.23
2026-03-24,32.2,7.15,101.34
2026-03-25,33.24,7.17,102.45
2026-03-26,32.09,7.25,101.28
2026-03-27,32.47,7.23,102.65
2026-03-30,32.78,7.4,103.46
2026-03-31,32.72,7.47,103.27
2026-04-01,34.15,7.41,104.39
2026-04-02,33.12,7.46,105.0
2026-04-03,32.91,7.33,103.49
2026-04-07,32.41,7.23,103.11
2026-04-08,34.62,7.15,104.19
2026-04-09,33.9,7.16,102.6
2026-04-10,33.75,7.14,102.07
2026-04-13,33.66,7.2,102.42
2026-04-14,34.8,7.29,103.1
2026-04-15,34.91,7.33,103.55
2026-04-16,35.3,7.29,103.44
2026-04-17,34.73,7.27,101.86
2026-04-20,34.82,7.4,101.35
2026-04-21,35.66,7.45,101.18
2026-04-22,35.53,7.35,100.64
2026-04-23,34.4,7.41,101.18
2026-04-24,34.31,7.41,101.27
2026-04-27,33.56,7.34,100.2
2026-04-28,32.95,7.36,100.2
2026-04-29,34.14,7.3,98.34
2026-04-30,33.3,7.28,97.08
2026-05-06,34.21,7.19,92.26
2026-05-07,34.46,7.22,92.6
2026-05-08,34.8,7.29,92.13
2026-05-11,34.27,7.3,91.81
2026-05-12,34.58,7.31,90.56
2026-05-13,34.66,7.23,89.15
2026-05-14,33.52,7.3,88.99
2026-05-15,31.84,7.24,86.87
2026-05-18,31.3,7.19,85.57
2026-05-19,31.16,7.26,85.78
